gender	age	class	embarked	country	fare	sibsp	parch	target
0	42.0	0	0	1.0	7.11	0.0	0.0	0
0	13.0	0	0	1.0	20.05	0.0	2.0	0
0	16.0	0	0	1.0	20.05	1.0	1.0	0
1	39.0	0	0	0.0	20.05	1.0	1.0	1
1	16.0	0	0	8.0	7.13	0.0	0.0	1
0	25.0	0	0	1.0	7.13	0.0	0.0	1
0	30.0	1	1	9.0	24.0	1.0	0.0	0
0	28.0	1	1	9.0	24.0	1.0	0.0	1
0	27.0	0	1	4.0	18.1509	0.0	0.0	1
0	20.0	0	0	5.0	7.1806	0.0	0.0	1
0	30.0	0	0	3.0	7.05	0.0	0.0	0
0	27.0	0	0	0.0	8.01	0.0	0.0	0
1	40.0	0	0	3.0	9.0906	1.0	0.0	0
0	0.8333333333	0	0	0.0	9.07	0.0	1.0	1
1	18.0	0	0	0.0	9.07	0.0	1.0	1
0	35.0	1	0	0.0	13.0	0.0	0.0	0
0	25.0	0	0	0.0	7.1709	0.0	0.0	0
0	19.0		0	5.0	7.1806	0.0	0.0	0
0	24.0	0	0	13.0	7.01	0.0	0.0	0
	25.0	0	0	13.0	7.01	0.0	0.0	0
1	29.0	2	0	1.0	211.6009	0.0	0.0	1
0	39.0	0	0	0.0	8.01	0.0	0.0	0
0	0.9166666667	2	0	7.0	151.16	1.0	2.0	1
1	2.0	2	0	7.0	151.16	1.0	2.0	0
0	30.0	2	0	7.0	151.16	1.0	2.0	0
1	25.0	2	0	1.0	151.16	1.0	2.0	0
0	18.0	0	0	0.0	8.06	0.0	0.0	0
0	19.0	0	1	4.0	7.0407	0.0	0.0	0
1	19.0	0	0	13.0	7.1701	1.0	0.0	1
0	33.0	0	0	8.0	22.1006	0.0	0.0	0
0	47.0	2	0	1.0	26.11	0.0	0.0	1
0	4.0	0	0	3.0	31.0506	4.0	2.0	0
1	6.0	0	0	3.0	31.0506	4.0	2.0	0
1	2.0	0	0	3.0	31.0506	4.0	2.0	0
1	16.0	0	0	5.0	7.1806	4.0	2.0	1
1	38.0	0	0	3.0	7.1506	4.0	2.0	0
1	9.0	0	0	3.0	31.0506	4.0	2.0	0
1	11.0	0	0	3.0	31.0506	4.0	2.0	0
0	39.0	0	0	3.0	31.0506	1.0	5.0	0
0	26.0	0	0	3.0	7.1506	0.0	0.0	0
1	39.0	0	0	3.0	31.0506	1.0	5.0	0
0	20.0	0	0	3.0	7.1701	0.0	0.0	0
0	17.0	1	0	13.0	11.1	0.0	0.0	0
0	27.0	1	0	0.0	10.1	0.0	0.0	0
1	62.0	2	1	1.0	77.1902	1.0	0.0	1
0	39.0	2	2	11.0		0.0	0.0	0
0	26.0	0	0	13.0	7.1711	0.0	0.0	0
1	36.0	1	0	0.0	26.0	1.0	0.0	1
0	31.0	1	0	0.0	26.0	1.0	0.0	0
1	53.0	2	0	1.0	51.0907	2.0	0.0	1
0	25.0	0	0	13.0	17.16	1.0	0.0	0
1	18.0	0	0	13.0	17.16	1.0	0.0	0
0	25.0	0	0	3.0	7.1506	0.0	0.0	0
0	71.0	2	1	13.0	49.1001	0.0	0.0	0
0	57.0	1	0	0.0	13.0	0.0	0.0	0
0	35.0	0	0	13.0	7.01	0.0	0.0	0
0	5.0	0	0	3.0	31.0709	4.0	2.0	0
0	9.0	0	0	3.0	31.0709	4.0	2.0	0
0	3.0	0	0	3.0	31.0709	4.0	2.0	1
0	13.0	0	0	3.0	31.0709	4.0	2.0	0
1	5.0	0	0	3.0	31.0709	4.0	2.0	1
0	40.0	0	0	3.0	31.0709	1.0	5.0	0
0	23.0	0	0	3.0	7.1511	0.0	0.0	1
1	38.0	0	0	3.0	31.0709	1.0	5.0	1
1	45.0	0	1	4.0	7.0406	0.0	0.0	1
0	23.0	0	0	13.0	7.01	0.0	0.0	0
0	47.0	2	1	1.0	247.1006	1.0	0.0	0
1	18.0	2	1	1.0	247.1006	1.0	0.0	1
1	17.0	0	1	4.0	14.0902	0.0	0.0	0
0	27.0	0	1	7.0	7.0406	0.0	0.0	0
1	24.0	2	1	9.0	69.06	0.0	0.0	1
0	23.0	0	0	3.0	7.1701	0.0	0.0	0
1	15.0	0	1	4.0	7.0407	0.0	0.0	1
0	32.0	0	0	5.0	15.17	1.0	0.0	0
1	33.0	0	0	5.0	15.17	3.0	0.0	1
1	3.0	0	1	4.0	19.0502	2.0	1.0	1
1	0.75	0	1	4.0	19.0502	2.0	1.0	1
1	5.0	0	1	4.0	19.0502	2.0	1.0	1
1	23.0	0	1	4.0	19.0502	0.0	3.0	1
1	18.0	0	0	0.0	8.01	0.0	0.0	1
0	40.0	0	1	4.0	7.0406	0.0	0.0	0
0	18.0	1	0	0.0	11.1	0.0	0.0	0
0	22.0	1	0	13.0	10.1	0.0	0.0	0
0	26.0	0	0	13.0	7.1711	0.0	0.0	0
1	36.0	1	0	0.0	13.0	0.0	0.0	1
0	28.0	1	0	0.0	10.1	0.0	0.0	0
1	31.0	0	0	13.0	8.1308	0.0	0.0	1
1	18.0	0	1	4.0	14.0901	0.0	1.0	0
1	45.0	0	1	4.0	14.0901	0.0	1.0	0
1	27.0	2	0		78.17	0.0	0.0	1
0	47.0	2	0	0.0	30.0	0.0	0.0	1
1	30.0	0	3	2.0	7.1707	0.0	0.0	0
0	22.0	0	0	0.0	8.01	0.0	0.0	0
1	32.0	2	1	13.0	76.051	0.0	0.0	1
0	52.0	1	0	0.0	12.1006	0.0	0.0	0
0	23.0	0	0	13.0	7.1711	0.0	0.0	0
0	60.0	2	1	1.0	25.1806	0.0	0.0	0
0	24.0	2	1	7.0	247.1005	0.0	1.0	0
1	50.0	2	1	7.0	247.1005	0.0	1.0	1
0	32.0	1	0	0.0	26.0	1.0	0.0	1
1	22.0	1	0	0.0	26.0	1.0	0.0	1
0	36.0	2	0	7.0	75.041	0.0	0.0	0
0	44.0	1	0	0.0	26.0	0.0	0.0	0
0	20.0	0	0	0.0	8.01	0.0	0.0	0
0	1.0	1	0	13.0	39.0	2.0	1.0	1
1	4.0	1	0	13.0	39.0	2.0	1.0	1
1	12.0	1	0	13.0	39.0	2.0	1.0	1
1	35.0	1	0	1.0	39.0	0.0	3.0	1
0	37.0	2	0	1.0	52.1101	1.0	1.0	1
1	46.0	2	0	1.0	52.1101	1.0	1.0	1
0	34.0	1	0	0.0	13.0	0.0	0.0	1
0	26.0	2	1	1.0	30.0	0.0	0.0	1
0	26.0	0	0	3.0	7.1506	0.0	0.0	0
1	19.0	1	0	1.0	13.0	0.0	0.0	1
0	22.0	0	0	5.0	9.07	0.0	0.0	0
0	23.0	1	0	0.0	13.0	0.0	0.0	0
1	39.0	2	1	1.0	63.0702	0.0	0.0	1
1	46.0	2	1		247.1006	0.0	0.0	1
0	32.0	0	0		56.0911	0.0	0.0	1
1	31.0	2	0	0.0	221.1507	0.0	0.0	1
0	21.0	0	0	8.0	7.1506	0.0	0.0	0
0	24.0	2	1		26.0	0.0	0.0	0
0	25.0	2	1	1.0	91.0107	1.0	0.0	1
1	19.0	2	1	1.0	91.0107	1.0	0.0	1
0	18.0	0	0	3.0	7.15	0.0	0.0	0
0	28.0	2	0	3.0	26.11	0.0	0.0	1
0	45.0	2	0	1.0	35.1	0.0	0.0	0
0	39.0	2	1	1.0	31.0	0.0	0.0	1
1	30.0	2	0	1.0	164.1704	0.0	0.0	1
1	61.0	2	0	0.0	26.11	0.0	0.0	1
0	41.0	2	0	0.0	26.11	0.0	0.0	0
0	26.0	0	0		7.1711	0.0	0.0	0
0	25.0	1	0	1.0	13.0	0.0	0.0	0
1	40.0	0	3	2.0	7.15	0.0	2.0	0
0	42.0	0	3	2.0	15.1	1.0	1.0	0
1	32.0	0	3	2.0	15.1	1.0	1.0	0
1	45.0	2	1	1.0	262.0706	0.0	0.0	1
0	26.0	0	0	12.0	16.02	0.0	0.0	0
0	42.0	1	0		13.0	0.0	0.0	0
1	22.0	2	0	0.0	55.0	0.0	1.0	1
0	30.0	1	0	1.0	13.0	0.0	0.0	0
1	22.0	0	3	2.0	7.1406	0.0	0.0	1
0	41.0	2	0	1.0	30.1	0.0	0.0	0
1	20.0	0	0	3.0	7.1701	0.0	0.0	0
0	24.0	1	0	0.0				0
0	48.0	2	1	1.0	50.0911	0.0	0.0	0
0	29.0	0	0	0.0	7.0	1.0	0.0	0
0	23.0	0	0	0.0	7.05	1.0	0.0	0
0	37.0	2	0	1.0	26.11	0.0	0.0	1
0	46.0	2	1	1.0	39.12	0.0	0.0	0
0	20.0	1	0	9.0				0
0	32.0	1	0		13.0	0.0	0.0	0
0	22.0	0	0	3.0	7.1511	0.0	0.0	0
0	40.0	0	0	0.0	8.01	0.0	0.0	0
1	18.0	1	0	0.0	13.0	0.0	0.0	1
1	15.0	1	0	13.0	39.0	0.0	2.0	1
1	59.0	2	0	1.0	51.0907	2.0	0.0	1
1	40.0	1	0	13.0	39.0	1.0	1.0	1
1	44.0	2	1	1.0	27.1405	0.0	0.0	1
0	60.0	1	0	13.0	39.0	1.0	1.0	0
1	20.0	1	0	3.0	26.0	1.0	0.0	1
0	25.0	1	0	3.0	26.0	1.0	0.0	0
1	22.0	0	3	2.0	7.0508	0.0	0.0	0
0	21.0	0	3	2.0	7.1517	0.0	0.0	1
1	58.0	2	1	13.0	76.051	0.0	0.0	1
0	7.0	0	1	4.0	15.0411	1.0	1.0	0
1	10.0	0	1	4.0	15.0411	1.0	1.0	0
1	40.0	0	1	4.0	15.0411	0.0	2.0	0
0	19.0	0	3	2.0	6.15	0.0	0.0	0
1	41.0	2	1		134.1	0.0	0.0	1
1	17.0	0	3	2.0	7.1707	0.0	0.0	0
1	36.0	1	0	0.0	13.0	0.0	0.0	1
0	26.0	1	0	0.0	13.0	0.0	0.0	0
0	21.0	0	1	4.0	7.0407	0.0	0.0	0
0	46.0	2	0	1.0	26.11	0.0	0.0	0
0	42.0	1	0	0.0	13.0	0.0	0.0	0
1	40.0	1	0	1.0	13.0	0.0	0.0	1
1	21.0	0	0	13.0	8.1303	0.0	0.0	0
1	30.0	0	0	13.0	8.1303	0.0	0.0	0
0	18.0	0	0	13.0	8.1303	0.0	0.0	0
0	38.0	0	0	13.0	8.1303	0.0	0.0	0
0	28.0	2	0	6.0	31.0	0.0	0.0	0
0	42.0	2	0	1.0	26.0509	0.0	0.0	1
0	0.8333333333	1	0	13.0	29.0	0.0	2.0	1
0	26.0	1	0	13.0	29.0	1.0	1.0	1
1	28.0	1	0	1.0	29.0	1.0	1.0	1
0	17.0	0	0	13.0	8.1303	0.0	0.0	0
0	17.0	0	0	13.0	8.1303	0.0	0.0	0
1	35.0	1	0	0.0	21.0	0.0	0.0	1
0	21.0	1	2	11.0		0.0	0.0	0
1	22.0	0	3	2.0	7.15	0.0	0.0	0
0	21.0	0	3	2.0	7.15	0.0	0.0	0
1	52.0	2	1	1.0	27.0811	0.0	0.0	1
0	29.0	0	0	0.0	8.01	0.0	0.0	0
0	28.0	0	1	7.0	14.0902	1.0	0.0	0
1	18.0	0	1	4.0	14.0902	1.0	0.0	0
0	19.0	1	0	0.0	13.0	0.0	0.0	0
1	58.0	2	1	1.0	512.0607	0.0	1.0	1
0	36.0	2	1	1.0	512.0607	0.0	1.0	1
0	28.0	0	0	3.0	7.1511	0.0	0.0	0
0	24.0	0	0	3.0	7.1701	0.0	0.0	0
0	33.0	2	0	1.0	5.0	0.0	0.0	0
0	17.0	2	0	13.0	47.02	0.0	0.0	0
0	27.0	2	0	13.0	47.02	0.0	0.0	0
1	45.0	0	3	2.0	7.15	0.0	0.0	0
0	54.0	1	0	0.0	26.0	1.0	0.0	0
0	11.0	2	0	1.0	120.0	1.0	2.0	1
1	13.0	2	0	1.0	120.0	1.0	2.0	1
1	45.0	1	0	0.0	26.0	1.0	0.0	0
1	36.0	2	0	1.0	120.0	1.0	2.0	1
0	36.0	2	0	1.0	120.0	1.0	2.0	1
0	28.0	0	0	0.0	7.05	0.0	0.0	0
0	49.0	2	0	1.0	26.0	0.0	0.0	0
1	36.0	2	1	1.0	27.1405	0.0	0.0	1
1	25.0	2	0	1.0	78.17	1.0	0.0	1
0	36.0	2	0	0.0	78.17	1.0	0.0	0
0	24.0	0	0		8.01	0.0	0.0	0
0	46.0	2	0	1.0	61.0306	1.0	0.0	0
1	47.0	2	0	1.0	61.0306	1.0	0.0	1
0	27.0	2	0	1.0	53.02	1.0	0.0	1
1	32.0	2	0	1.0	53.02	1.0	0.0	1
0	52.0	1	0	1.0	13.1	0.0	0.0	0
0	37.0	1	0	0.0	26.0	1.0	0.0	0
1	29.0	1	0	0.0	26.0	1.0	0.0	0
0	20.0	0	3	2.0	7.1408	0.0	0.0	0
1	36.0	2	1		262.0706	0.0	0.0	1
1	30.0	2	0	0.0	86.1	0.0	0.0	1
0	45.0	2	1	10.0	29.14	0.0	0.0	1
1	48.0	2	0	0.0	55.0	0.0	1.0	1
0	32.0	0	0		56.0911	0.0	0.0	1
0	43.0	2	2	6.0		0.0	0.0	0
0	29.0	0	0	0.0	8.01	0.0	0.0	0
1	25.0	1	0	0.0	30.0	1.0	1.0	1
1	52.0	1	0	0.0	30.0	0.0	2.0	1
0	26.0	0	1		14.0901	1.0	0.0	0
0	21.0	0	1		14.0901	1.0	0.0	0
0	29.0	1	0	0.0	26.0	1.0	0.0	0
0	28.0	1	0	0.0				0
1	28.0	1	0	0.0	27.0	1.0	0.0	1
1	26.0	2	1	1.0	136.1507	1.0	0.0	1
0	27.0	2	1	1.0	136.1507	1.0	0.0	0
1	22.0	2	0	0.0	151.16	0.0	0.0	1
0	40.0	2	0	1.0	52.0	0.0	0.0	0
0	20.0	0	0		7.01	0.0	0.0	0
0	18.0	0	0	0.0	8.01	0.0	0.0	1
0	24.0	0	3	2.0	7.05	0.0	0.0	0
0	24.0	0	0	13.0	7.1711	0.0	0.0	0
0	29.0	1	0	0.0	10.1	0.0	0.0	0
0	27.0	1	0	5.0	13.0	0.0	0.0	0
0	25.0	1	0	0.0	10.1	0.0	0.0	1
0	37.0	2	0	2.0	25.1109	0.0	0.0	0
1	8.0	1	0	0.0	26.05	0.0	2.0	1
0	31.0	1	0	0.0	26.05	1.0	1.0	0
1	30.0	1	0	0.0	26.05	1.0	1.0	1
0	36.0	0	0	13.0	7.1711	0.0	0.0	0
1	39.0	2	1	1.0	83.0302	1.0	1.0	1
0	37.0	2	1	1.0	83.0302	1.0	1.0	0
1	64.0	2	1	1.0	83.0302	0.0	2.0	1
0	31.0	0	3	1.0	7.1408	0.0	0.0	0
0	40.0	0	3	2.0	7.15	0.0	0.0	0
1	23.0	0	3	2.0	7.15	0.0	0.0	1
1	41.0	0	3	2.0	7.1207	0.0	0.0	0
0	66.0	0	3	2.0	7.15	0.0	0.0	0
0	43.0	0	0		8.01	0.0	0.0	0
1	22.0	1	0	0.0	10.1	0.0	0.0	1
1	30.0	1	0	1.0	13.0	0.0	0.0	0
1	32.0	1	0		21.0	0.0	0.0	0
0	35.0	0	0	13.0	7.1711	0.0	0.0	0
0	27.0	0	0	13.0	7.1711	0.0	0.0	0
0	19.0	0	0	13.0	7.1711	0.0	0.0	0
0	30.0	0	0	13.0	8.01	0.0	0.0	0
1	55.0	2	0	1.0	25.141	2.0	0.0	1
1	16.0	0	3	2.0	7.15	0.0	0.0	1
0	21.0	1	0	0.0	11.1	0.0	0.0	0
0	3.0	0	0	0.0	15.18	1.0	1.0	1
0	9.0	0	0	0.0	15.18	1.0	1.0	1
1	36.0	0	0	0.0	15.18	0.0	2.0	1
0	58.0	0	0	0.0	7.05	0.0	0.0	0
0	59.0	2	0	1.0	26.11	0.0	0.0	0
0	20.0	0	0	1.0	8.0302	0.0	0.0	0
1	16.0	0	0	1.0	16.02	0.0	1.0	1
0	43.0	0	0	13.0	16.02	0.0	1.0	0
0	70.0	2	0	1.0	71.0	1.0	1.0	0
1	39.0	2	0	1.0	26.11	0.0	2.0	1
1	64.0	2	0	1.0	71.0	1.0	1.0	1
0	17.0	0	0	13.0	8.1303	0.0	0.0	0
0	39.0	2	1	1.0	71.0508	1.0	0.0	0
1	35.0	2	1	13.0	71.0508	1.0	0.0	1
0	22.0	1	2	11.0		0.0	0.0	0
0	28.0	0	1		7.0407	0.0	0.0	0
1	22.0	0	0	3.0	10.1004	0.0	0.0	0
0	45.0	0	0		8.01	0.0	0.0	1
0	19.0	0	0		10.0305	0.0	0.0	0
1	33.0	0	3	2.0	6.19	0.0	0.0	1
0	29.0	0	3	2.0	7.15	0.0	0.0	1
0	51.0	2	0	0.0	26.11	0.0	0.0	1
0	0.3333333333	0	0	3.0	14.08	0.0	2.0	0
0	34.0	0	0	3.0	14.08	1.0	1.0	0
1	28.0	0	0	3.0	14.08	1.0	1.0	0
0	27.0	2	0	1.0	30.1	0.0	0.0	1
1	36.0	2	0	0.0	151.16	0.0	0.0	1
0	27.0	0	0		7.1711	0.0	0.0	0
1	27.0	2	1	7.0	52.0	1.0	2.0	1
0	31.0	2	1	7.0	52.0	1.0	0.0	0
0	8.0	1	0	0.0	36.15	1.0	1.0	1
0	24.0	0	0	0.0	24.03	2.0	0.0	0
0	19.0	1	0	0.0	73.1	0.0	0.0	0
0	22.0	0	0	12.0	8.01	0.0	0.0	0
0	22.0	0	0	0.0	24.03	2.0	0.0	0
0	17.0	0	0	0.0	8.01	2.0	0.0	0
1	48.0	1	0	0.0	36.15	0.0	2.0	1
1	28.0	1	0	0.0	13.0	0.0	0.0	1
1	34.0	0	0	0.0	16.02	1.0	0.0	1
0	32.0	0	0	0.0	16.02	1.0	0.0	0
0	18.0	1	0	0.0	73.1	0.0	0.0	0
0	1.0	0	0	0.0	20.1106	1.0	2.0	1
1	0.1666666667	0	0	0.0	20.1106	1.0	2.0	1
0	25.0	0	0	0.0	20.1106	1.0	2.0	0
1	32.0	0	0	0.0	20.1106	1.0	2.0	1
0	25.0	0	0	13.0	7.1711	0.0	0.0	0
1	24.0	1	1	13.0	27.1405	1.0	0.0	1
0	29.0	1	1	13.0	27.1405	1.0	0.0	0
0	36.0	0	0	1.0	17.08	1.0	0.0	1
1	36.0	0	0	1.0	17.08	1.0	0.0	1
0	30.0	0	0	10.0	9.1	0.0	0.0	1
0	25.0	1	0	13.0	31.1	0.0	0.0	0
0	30.0	0	0		7.1711	0.0	0.0	0
0	22.0	0	0	0.0	7.05	0.0	0.0	0
0	26.0	0	0	0.0	7.05	0.0	0.0	0
0	16.0	0	0	10.0	9.1	0.0	0.0	0
1	19.0	0	3	2.0	7.1707	0.0	0.0	1
0	18.0	1	0	0.0	73.1	0.0	0.0	0
0	31.0	2	0	7.0	57.0	1.0	0.0	1
1	17.0	2	0	1.0	57.0	1.0	0.0	1
0	17.0	0	0	13.0	7.1711	0.0	0.0	0
0	42.0	0	0	13.0	8.1303	0.0	0.0	0
0	43.0	0	0		7.1711	0.0	0.0	0
0	52.0	2	0	1.0	81.1702	1.0	1.0	1
0	4.0	2	0	1.0	81.1702	0.0	2.0	1
1	34.0	2	0	1.0	81.1702	1.0	1.0	1
1	18.0	1	0	0.0	23.0	0.0	1.0	1
1	34.0	1	0	0.0	23.0	0.0	1.0	1
1	21.0	0	3	2.0	7.15	0.0	0.0	0
0	37.0	0	3	2.0	7.15	0.0	0.0	0
0	18.0	0	0	0.0	8.01	0.0	0.0	1
0	22.0	0	3	2.0	8.0902	0.0	0.0	0
1	48.0	2	1	1.0	106.0806	1.0	0.0	1
1	27.0	2	1	7.0	247.1005	1.0	1.0	1
0	50.0	2	1	1.0	106.0806	1.0	0.0	0
0	55.0	1	0	0.0	26.0	0.0	0.0	0
1	31.0	0	0	1.0	12.0906	0.0	0.0	1
1	28.0	0	3	2.0	7.15	0.0	0.0	0
0	33.0	0	1	13.0	7.1711	0.0	0.0	0
0	8.0	1	0	1.0	32.1	0.0	2.0	1
0	42.0	1	0	0.0	32.1	1.0	1.0	0
1	34.0	1	0	1.0	32.1	1.0	1.0	1
1	27.0	0	3	2.0	7.15	0.0	0.0	1
1	24.0	0	0	0.0	8.01	0.0	0.0	1
1	48.0	2	1	0.0	56.1807	1.0	0.0	1
0	49.0	2	1	0.0	39.12	1.0	0.0	1
0	39.0	2	1	1.0	29.14	0.0	0.0	0
0	24.0	0	0	13.0	7.11	0.0	0.0	1
1	27.0	1	1	13.0	13.1702	1.0	0.0	1
1	30.0	1	1	13.0	13.1702	1.0	0.0	1
0	65.0	0	3	2.0	7.15	0.0	0.0	0
0	23.0	0	0	1.0	13.18	1.0	0.0	0
1	22.0	0	0	1.0	13.18	1.0	0.0	1
1	23.0	2	1	1.0	83.0302	0.0	1.0	1
0	18.0	0	0	3.0	7.1506	0.0	0.0	0
0	25.0	1	0	1.0	13.0	0.0	0.0	0
0	16.0	0	0	3.0	7.1506	0.0	0.0	0
0	45.0	0	0	3.0	6.1906	0.0	0.0	0
0	29.0	0	1		7.0406	0.0	0.0	0
0	15.0	0	1	4.0	7.0407	1.0	1.0	0
0	22.0	0	1	4.0	7.0407	1.0	1.0	0
0	48.0	0	0	0.0	7.05	0.0	0.0	0
1	5.0	0	0	1.0	12.0906	0.0	0.0	1
0	21.0	1	0	3.0	13.0	0.0	0.0	0
1	39.0	2	1	1.0	247.1006	0.0	0.0	1
0	37.0	0	0		7.01	0.0	0.0	0
1	54.0	2	1	1.0	78.0504	1.0	0.0	1
1	36.0	2	1	1.0	31.1307	0.0	0.0	0
0	38.0	0	0	0.0	15.02	0.0	0.0	0
0	18.0	1	0	8.0	13.0	0.0	0.0	0
0	46.0	0	0	0.0	7.05	0.0	0.0	0
0	26.0	0	3	2.0	7.15	0.0	0.0	0
0	49.0	2	0	0.0	221.1507	0.0	0.0	0
0	32.0	1	0	0.0	26.0	1.0	0.0	0
0	18.0	1	0	0.0	10.1	0.0	0.0	0
0	34.0	0	0		7.01	0.0	0.0	1
0	18.0	0	0	3.0	7.1511	0.0	0.0	0
1	48.0	2	1	1.0	31.1308	0.0	0.0	1
1	22.0	0	3	2.0	7.15	0.0	0.0	0
1	42.0	2	1	1.0	110.1708	0.0	0.0	1
0	28.0	0	3	2.0	7.15	0.0	0.0	0
0	48.0	0	3	2.0	6.19	0.0	0.0	0
0	36.0	2	0	7.0	26.0509	0.0	0.0	1
0	19.0	0	3	2.0	7.1707	0.0	0.0	0
0	20.0	0	3	2.0	7.15	0.0	0.0	0
0	32.0	0	0		56.0911	0.0	0.0	1
1	20.0	0	0	0.0	34.0706	2.0	2.0	0
1	7.0	0	0	0.0	34.0706	2.0	2.0	0
0	23.0	0	0	0.0	8.01	0.0	0.0	0
0	18.0	0	0	0.0	34.0706	2.0	2.0	0
1	54.0	0	0	6.0	34.0706	1.0	3.0	0
0	14.0	0	0	0.0	34.0706	1.0	3.0	0
0	30.0	2	0	1.0	27.15	0.0	0.0	0
1	24.0	2	0	7.0	263.0	3.0	2.0	1
1	28.0	2	0	7.0	263.0	3.0	2.0	1
1	23.0	2	0	7.0	263.0	3.0	2.0	1
0	19.0	2	0	7.0	263.0	3.0	2.0	0
0	64.0	2	0	7.0	263.0	1.0	4.0	0
1	60.0	2	0	7.0	263.0	1.0	4.0	1
0	28.0	0	3	2.0	7.15	0.0	0.0	0
0	38.0	1	0	1.0	13.0	0.0	0.0	0
1	32.0	2	1	0.0	56.1807	0.0	0.0	1
0	37.0	2	0	0.0	26.11	0.0	0.0	0
0	49.0	2	0	1.0	133.13	2.0	0.0	1
0	43.0	2	1	1.0	27.1405	1.0	0.0	1
1	42.0	2	0	1.0	133.13	1.0	0.0	1
1	22.0	2	1	13.0	49.1	0.0	2.0	1
0	60.0	2	1	13.0	79.04	1.0	1.0	1
1	48.0	2	1	13.0	79.04	1.0	1.0	1
0	39.0	1	2	0.0		0.0	0.0	0
0	39.0	2	0	0.0		0.0	0.0	0
1	38.0	1	0	13.0	13.0	0.0	0.0	0
0	37.0	2	0	0.0	53.02	1.0	0.0	0
